Date,SPoRT Evaporative Stress Index (ESI-4WEEK): avg, SPoRT Evaporative Stress Index (ESI-4WEEK): avg Percent of AOI with data
2013-5-7 00:00:00,-0.413,98.00,
2013-5-14 00:00:00,-0.154,90.00,
2013-5-21 00:00:00,-0.249,87.00,
2013-5-28 00:00:00,-0.261,87.00,
2013-6-4 00:00:00,-0.565,37.00,
2013-6-11 00:00:00,-0.346,31.00,
2013-6-18 00:00:00,0.012,21.00,
2013-6-25 00:00:00,0.147,8.00,
2013-7-2 00:00:00,-0.067,16.00,
2013-7-9 00:00:00,-0.602,25.00,
2013-7-16 00:00:00,-0.652,22.00,
2013-7-23 00:00:00,-0.482,27.00,
2013-7-30 00:00:00,-0.688,28.00,
2013-8-6 00:00:00,-0.569,24.00,
2013-8-13 00:00:00,-0.147,74.00,
2013-8-20 00:00:00,-0.814,97.00,
2013-8-27 00:00:00,-0.629,99.00,
2013-9-3 00:00:00,-0.623,99.00,
2013-9-10 00:00:00,-0.275,99.00,
2013-9-17 00:00:00,0.318,99.00,
2013-9-24 00:00:00,0.467,99.00,
2013-10-1 00:00:00,0.505,99.00,
2013-10-8 00:00:00,0.533,99.00,
2013-10-15 00:00:00,0.357,99.00,
2013-10-22 00:00:00,0.094,97.00,
2013-10-29 00:00:00,0.090,96.00,
2013-11-5 00:00:00,-0.141,94.00,
2013-11-12 00:00:00,-0.087,94.00,
2013-11-19 00:00:00,0.134,96.00,
2013-11-26 00:00:00,0.115,96.00,
2013-12-3 00:00:00,0.030,93.00,
2013-12-11 00:00:00,0.174,93.00,
2013-12-18 00:00:00,0.298,93.00,
2013-12-25 00:00:00,0.138,92.00,
2014-1-1 00:00:00,0.102,95.00,
2014-1-8 00:00:00,0.003,92.00,
2014-1-15 00:00:00,-0.231,94.00,
2014-1-22 00:00:00,0.334,95.00,
2014-1-29 00:00:00,0.448,95.00,
2014-2-5 00:00:00,0.786,95.00,
2014-2-12 00:00:00,0.872,96.00,
2014-2-19 00:00:00,0.689,99.00,
2014-2-26 00:00:00,0.592,98.00,
2014-3-5 00:00:00,-0.116,99.00,
2014-3-12 00:00:00,-0.041,99.00,
2014-3-19 00:00:00,-0.135,99.00,
2014-3-26 00:00:00,-0.873,99.00,
2014-4-2 00:00:00,-0.643,99.00,
2014-4-9 00:00:00,-0.664,99.00,
2014-4-16 00:00:00,-1.031,99.00,
2014-4-23 00:00:00,-1.190,99.00,
2014-4-30 00:00:00,-1.107,99.00,
2014-5-7 00:00:00,-1.215,99.00,
2014-5-14 00:00:00,-0.903,99.00,
2014-5-21 00:00:00,-0.261,96.00,
2014-5-28 00:00:00,0.042,96.00,
2014-6-4 00:00:00,-0.228,72.00,
2014-6-11 00:00:00,-0.491,45.00,
2014-6-18 00:00:00,-1.001,30.00,
2014-6-25 00:00:00,-0.643,18.00,
2014-7-2 00:00:00,-0.405,24.00,
2014-7-9 00:00:00,-0.154,23.00,
2014-7-16 00:00:00,-0.026,26.00,
2014-7-23 00:00:00,-0.197,22.00,
2014-7-30 00:00:00,-0.535,18.00,
2014-8-6 00:00:00,-0.476,41.00,
2014-8-13 00:00:00,0.026,73.00,
2014-8-20 00:00:00,0.259,81.00,
2014-8-27 00:00:00,0.166,87.00,
2014-9-3 00:00:00,0.410,95.00,
2014-9-10 00:00:00,0.128,99.00,
2014-9-17 00:00:00,-0.454,99.00,
2014-9-24 00:00:00,-0.251,99.00,
2014-10-1 00:00:00,-0.181,99.00,
2014-10-8 00:00:00,-0.067,97.00,
2014-10-15 00:00:00,0.218,96.00,
2014-10-22 00:00:00,0.315,97.00,
2014-10-29 00:00:00,0.311,98.00,
2014-11-5 00:00:00,0.347,95.00,
2014-11-12 00:00:00,0.455,94.00,
2014-11-19 00:00:00,0.372,98.00,
2014-11-26 00:00:00,0.378,98.00,
2014-12-3 00:00:00,0.119,89.00,
2014-12-11 00:00:00,0.583,96.00,
2014-12-18 00:00:00,0.227,94.00,
2014-12-25 00:00:00,0.057,93.00,
2015-1-1 00:00:00,0.059,95.00,
2015-1-8 00:00:00,-0.517,96.00,
2015-1-15 00:00:00,-0.575,96.00,
2015-1-22 00:00:00,-0.477,97.00,
2015-1-29 00:00:00,-0.621,99.00,
2015-2-5 00:00:00,-0.081,99.00,
2015-2-12 00:00:00,0.209,98.00,
2015-2-19 00:00:00,0.447,98.00,
2015-2-26 00:00:00,1.124,96.00,
2015-3-5 00:00:00,1.144,97.00,
2015-3-12 00:00:00,1.246,97.00,
2015-3-19 00:00:00,0.884,99.00,
2015-3-26 00:00:00,1.197,99.00,
2015-4-2 00:00:00,1.326,99.00,
2015-4-9 00:00:00,0.959,99.00,
2015-4-16 00:00:00,0.791,99.00,
2015-4-23 00:00:00,0.514,99.00,
2015-4-30 00:00:00,-0.061,99.00,
2015-5-7 00:00:00,-0.093,99.00,
2015-5-14 00:00:00,-0.379,99.00,
2015-5-21 00:00:00,-0.485,99.00,
2015-5-28 00:00:00,-0.568,99.00,
2015-6-4 00:00:00,-0.705,98.00,
2015-6-11 00:00:00,-0.196,67.00,
2015-6-18 00:00:00,-0.331,53.00,
2015-6-25 00:00:00,-0.615,27.00,
2015-7-2 00:00:00,-0.878,52.00,
2015-7-9 00:00:00,-0.711,53.00,
2015-7-16 00:00:00,-0.565,61.00,
2015-7-23 00:00:00,-0.320,62.00,
