Date,UCSB CHIRPS Rainfall: avg, UCSB CHIRPS Rainfall: avg Percent of AOI with data
2013-5-1 00:00:00,1.141,100.00,
2013-5-2 00:00:00,0.782,100.00,
2013-5-3 00:00:00,0,100.00,
2013-5-4 00:00:00,0,100.00,
2013-5-5 00:00:00,1.127,100.00,
2013-5-6 00:00:00,0,100.00,
2013-5-7 00:00:00,0.431,100.00,
2013-5-8 00:00:00,0,100.00,
2013-5-9 00:00:00,0.791,100.00,
2013-5-10 00:00:00,2.792,100.00,
2013-5-11 00:00:00,2.009,100.00,
2013-5-12 00:00:00,0,100.00,
2013-5-13 00:00:00,0,100.00,
2013-5-14 00:00:00,0,100.00,
2013-5-15 00:00:00,0.685,100.00,
2013-5-16 00:00:00,0,100.00,
2013-5-17 00:00:00,0,100.00,
2013-5-18 00:00:00,0,100.00,
2013-5-19 00:00:00,0,100.00,
2013-5-20 00:00:00,5.430,100.00,
2013-5-21 00:00:00,0.129,100.00,
2013-5-22 00:00:00,0,100.00,
2013-5-23 00:00:00,12.440,100.00,
2013-5-24 00:00:00,0.218,100.00,
2013-5-25 00:00:00,4.648,100.00,
2013-5-26 00:00:00,167.876,100.00,
2013-5-27 00:00:00,0,100.00,
2013-5-28 00:00:00,0,100.00,
2013-5-29 00:00:00,0,100.00,
2013-5-30 00:00:00,0,100.00,
2013-5-31 00:00:00,0.985,100.00,
2013-6-1 00:00:00,0,100.00,
2013-6-2 00:00:00,0,100.00,
2013-6-3 00:00:00,0.678,100.00,
2013-6-4 00:00:00,8.295,100.00,
2013-6-5 00:00:00,19.124,100.00,
2013-6-6 00:00:00,19.032,100.00,
2013-6-7 00:00:00,1.842,100.00,
2013-6-8 00:00:00,8.603,100.00,
2013-6-9 00:00:00,15.427,100.00,
2013-6-10 00:00:00,25.083,100.00,
2013-6-11 00:00:00,14.430,100.00,
2013-6-12 00:00:00,7.091,100.00,
2013-6-13 00:00:00,0,100.00,
2013-6-14 00:00:00,10.195,100.00,
2013-6-15 00:00:00,0.547,100.00,
2013-6-16 00:00:00,3.196,100.00,
2013-6-17 00:00:00,32.609,100.00,
2013-6-18 00:00:00,43.222,100.00,
2013-6-19 00:00:00,1.897,100.00,
2013-6-20 00:00:00,0.827,100.00,
2013-6-21 00:00:00,12.506,100.00,
2013-6-22 00:00:00,14.548,100.00,
2013-6-23 00:00:00,26.435,100.00,
2013-6-24 00:00:00,11.679,100.00,
2013-6-25 00:00:00,3.328,100.00,
2013-6-26 00:00:00,6.065,100.00,
2013-6-27 00:00:00,3.754,100.00,
2013-6-28 00:00:00,23.882,100.00,
2013-6-29 00:00:00,14.093,100.00,
2013-6-30 00:00:00,1.903,100.00,
2013-7-1 00:00:00,0,100.00,
2013-7-2 00:00:00,4.123,100.00,
2013-7-3 00:00:00,3.546,100.00,
2013-7-4 00:00:00,8.486,100.00,
2013-7-5 00:00:00,10.600,100.00,
2013-7-6 00:00:00,16.329,100.00,
2013-7-7 00:00:00,2.091,100.00,
