Date,Soil moisture profile - USDA SMAP: avg, Soil moisture profile - USDA SMAP: avg Percent of AOI with data,Sub surface soil moisture - USDA SMAP: avg, Sub surface soil moisture - USDA SMAP: avg Percent of AOI with data,Sub surface soil moisture anomaly - USDA SMAP: avg, Sub surface soil moisture anomaly - USDA SMAP: avg Percent of AOI with data,Surface soil moisture - USDA SMAP: avg, Surface soil moisture - USDA SMAP: avg Percent of AOI with data,Surface soil moisture anomaly  - USDA SMAP: avg, Surface soil moisture anomaly  - USDA SMAP: avg Percent of AOI with data
2015-4-3 00:00:00,28.250,100.00,26.203,100.00,0.131,100.00,7.168,100.00,-0.082,100.00,
2015-4-6 00:00:00,26.090,100.00,24.671,100.00,-0.064,100.00,5.784,100.00,-0.348,100.00,
2015-4-9 00:00:00,22.780,100.00,21.525,100.00,-0.325,100.00,5.081,100.00,-0.499,100.00,
2015-4-12 00:00:00,21.450,100.00,19.293,100.00,-0.499,100.00,5.697,100.00,-0.451,100.00,
2015-4-15 00:00:00,22.290,100.00,20.244,100.00,-0.508,100.00,5.641,100.00,-0.497,100.00,
2015-4-18 00:00:00,29.730,100.00,26.466,100.00,-0.323,100.00,9.242,100.00,-0.021,100.00,
2015-4-21 00:00:00,30.630,100.00,28.982,100.00,-0.280,100.00,7.985,100.00,-0.266,100.00,
2015-4-24 00:00:00,33.720,100.00,31.522,100.00,-0.169,100.00,10.330,100.00,0.310,100.00,
2015-4-27 00:00:00,38.840,100.00,40.237,100.00,0.348,100.00,9.663,100.00,0.116,100.00,
2015-4-30 00:00:00,37.230,100.00,39.002,100.00,0.224,100.00,8.771,100.00,-0.081,100.00,
2015-5-3 00:00:00,33.560,100.00,35.740,100.00,0.011,100.00,7.300,100.00,-0.333,100.00,
2015-5-6 00:00:00,29.110,100.00,31.039,100.00,-0.244,100.00,6.358,100.00,-0.499,100.00,
2015-5-9 00:00:00,28.300,100.00,29.567,100.00,-0.350,100.00,6.978,100.00,-0.404,100.00,
2015-5-12 00:00:00,27.830,100.00,29.608,100.00,-0.369,100.00,6.611,100.00,-0.461,100.00,
2015-5-15 00:00:00,25.000,100.00,27.161,100.00,-0.494,100.00,5.490,100.00,-0.684,100.00,
2015-5-18 00:00:00,24.740,100.00,26.173,100.00,-0.571,100.00,6.399,100.00,-0.540,100.00,
2015-5-21 00:00:00,24.050,100.00,26.376,100.00,-0.569,100.00,5.548,100.00,-0.676,100.00,
2015-5-24 00:00:00,21.680,100.00,23.906,100.00,-0.722,100.00,4.946,100.00,-0.823,100.00,
2015-5-27 00:00:00,22.940,100.00,24.247,100.00,-0.737,100.00,6.059,100.00,-0.642,100.00,
2015-5-30 00:00:00,23.150,100.00,24.694,100.00,-0.744,100.00,5.927,100.00,-0.689,100.00,
2015-6-2 00:00:00,21.140,100.00,23.506,100.00,-0.809,100.00,4.636,100.00,-0.953,100.00,
2015-6-5 00:00:00,19.630,100.00,21.751,100.00,-0.909,100.00,4.711,100.00,-0.964,100.00,
2015-6-8 00:00:00,18.010,100.00,20.478,100.00,-1.017,100.00,3.975,100.00,-1.260,100.00,
2015-6-11 00:00:00,22.090,100.00,22.445,100.00,-0.960,100.00,7.401,100.00,-0.675,100.00,
2015-6-14 00:00:00,25.490,100.00,26.985,100.00,-0.841,100.00,7.188,100.00,-0.806,100.00,
2015-6-17 00:00:00,27.260,100.00,29.112,100.00,-0.849,100.00,7.490,100.00,-0.837,100.00,
2015-6-20 00:00:00,28.640,100.00,30.810,100.00,-0.886,100.00,7.804,100.00,-0.943,100.00,
2015-6-23 00:00:00,29.980,100.00,32.349,100.00,-0.957,100.00,8.009,100.00,-1.048,100.00,
2015-6-26 00:00:00,34.890,100.00,35.139,100.00,-1.012,100.00,11.376,100.00,-0.815,100.00,
2015-6-29 00:00:00,42.220,100.00,42.736,100.00,-0.902,100.00,12.507,100.00,-0.805,100.00,
2015-7-2 00:00:00,45.740,100.00,47.094,100.00,-0.978,100.00,13.413,100.00,-0.976,100.00,
2015-7-5 00:00:00,52.520,100.00,53.032,100.00,-0.996,100.00,16.369,100.00,-0.678,100.00,
2015-7-8 00:00:00,62.820,100.00,64.930,100.00,-0.794,100.00,18.241,100.00,-0.544,100.00,
2015-7-11 00:00:00,73.370,100.00,76.042,100.00,-0.515,100.00,20.507,100.00,-0.381,100.00,
2015-7-14 00:00:00,75.840,100.00,79.901,100.00,-0.767,100.00,19.674,100.00,-0.875,100.00,
2015-7-17 00:00:00,83.240,97.56,87.271,97.56,-0.289,100.00,21.726,100.00,-0.223,100.00,
2015-7-20 00:00:00,82.120,97.56,87.223,97.56,-0.353,100.00,20.172,100.00,-0.636,100.00,
2015-7-23 00:00:00,81.370,97.56,85.648,97.56,-0.614,100.00,20.877,100.00,-0.532,100.00,
2015-7-26 00:00:00,80.880,100.00,86.478,100.00,-0.867,100.00,19.749,100.00,-1.057,100.00,
2015-7-29 00:00:00,79.190,100.00,84.067,100.00,-0.970,100.00,19.522,100.00,-0.884,100.00,
2015-8-1 00:00:00,78.930,100.00,83.634,100.00,-0.858,100.00,19.427,100.00,-0.820,100.00,
2015-8-4 00:00:00,76.470,100.00,80.868,100.00,-1.381,100.00,18.493,100.00,-1.227,100.00,
2015-8-7 00:00:00,76.480,100.00,80.106,100.00,-0.921,100.00,19.063,100.00,-0.864,100.00,
2015-8-10 00:00:00,76.770,100.00,79.692,100.00,-1.002,100.00,20.102,100.00,-0.684,100.00,
2015-8-13 00:00:00,76.780,100.00,80.943,100.00,-1.056,100.00,19.076,100.00,-0.940,100.00,
2015-8-16 00:00:00,77.170,97.56,80.257,97.56,-0.912,100.00,20.088,100.00,-0.572,100.00,
2015-8-19 00:00:00,79.480,100.00,83.075,100.00,-0.611,100.00,20.906,100.00,-0.252,100.00,
2015-8-22 00:00:00,81.030,100.00,85.864,100.00,-0.371,100.00,20.441,100.00,-0.332,100.00,
2015-8-25 00:00:00,78.590,100.00,83.653,100.00,-0.547,100.00,19.395,100.00,-0.577,100.00,
2015-8-28 00:00:00,81.470,100.00,86.106,100.00,-0.321,100.00,21.286,100.00,-0.108,100.00,
2015-8-31 00:00:00,79.970,100.00,86.852,100.00,-0.356,100.00,19.449,100.00,-0.560,100.00,
